G001 → best=0.0791, avg=0.0170, H_norm=0.99, mut_cat=0.20, mut_cont=0.02
G002 → best=0.0791, avg=0.0268, H_norm=0.96, mut_cat=0.21, mut_cont=0.03
G003 → best=0.0791, avg=0.0347, H_norm=0.91, mut_cat=0.22, mut_cont=0.04
G004 → best=0.0791, avg=0.0415, H_norm=0.85, mut_cat=0.23, mut_cont=0.05
G005 → best=0.0791, avg=0.0455, H_norm=0.81, mut_cat=0.24, mut_cont=0.05
G006 → best=0.0791, avg=0.0480, H_norm=0.79, mut_cat=0.24, mut_cont=0.06
G007 → best=0.0791, avg=0.0491, H_norm=0.77, mut_cat=0.25, mut_cont=0.06
G008 → best=0.0791, avg=0.0501, H_norm=0.75, mut_cat=0.25, mut_cont=0.06
G009 → best=0.0791, avg=0.0496, H_norm=0.75, mut_cat=0.25, mut_cont=0.07
G010 → best=0.0791, avg=0.0499, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G011 → best=0.0791, avg=0.0500, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G012 → best=0.0791, avg=0.0497, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G013 → best=0.0791, avg=0.0495, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G014 → best=0.0791, avg=0.0496, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G015 → best=0.0791, avg=0.0491, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G016 → best=0.0791, avg=0.0492, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G017 → best=0.0791, avg=0.0491, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G018 → best=0.0791, avg=0.0494, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G019 → best=0.0791, avg=0.0493, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G020 → best=0.0791, avg=0.0498, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G021 → best=0.0791, avg=0.0497, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G022 → best=0.0791, avg=0.0499, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G023 → best=0.0791, avg=0.0498, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G024 → best=0.0791, avg=0.0496, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G025 → best=0.0791, avg=0.0494, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G026 → best=0.0791, avg=0.0491, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G027 → best=0.0791, avg=0.0492, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G028 → best=0.0791, avg=0.0498, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G029 → best=0.0791, avg=0.0496, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G030 → best=0.0791, avg=0.0495, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G031 → best=0.0791, avg=0.0493, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
